,city,coords
Shahpura,25.63,74.93
Gajapati,,
Kokrajhar,26.4,90.27
Kishtwar,33.32,75.77
Jaisalmer,26.913,70.915
Vyara,21.12,73.4
Malabar,12.01065,75.27038888888889
Kendujhar,21.63,85.58
Upper Subansiri,28.3,94.0
Seoni,22.08,79.53
Bulandshahr,28.4,77.85
KALOL,22.606,73.46300000000001
Kozhikode,11.25,75.77
Mumbai,18.975,72.82583
Malappuram,11.041,76.083
Wardha,20.744446666666665,78.60370666666667
Meerut,28.99,77.7
BHILAD,,
Mangalore,12.849879999999999,74.81996
Secunderabad,17.45,78.5
Jagadalpur,19.07,82.03
Sagar,23.83403,78.746567
Agartala,23.833,91.283
Gopal Ganj,26.467883999999998,84.444649
Dewas,22.96,76.06
Bageshwar,29.722,79.664
Gwalior,26.221014,78.17868266666666
Yamuna Nagar,30.133,77.288
Kodad,16.99778,79.96528
Patan,23.849325,72.12662499999999
