param_learning_rate;param_n_estimators;param_max_depth;param_max_features;params;mean_train_score;mean_test_score
0.1;20;3;0.5;{'learning_rate': 0.1, 'max_depth': 3, 'max_features': 0.5, 'n_estimators': 20};0.8546310140889073;0.8333944255058487
0.1;50;3;0.5;{'learning_rate': 0.1, 'max_depth': 3, 'max_features': 0.5, 'n_estimators': 50};0.8725884924276089;0.8423223629273849
0.1;100;3;0.5;{'learning_rate': 0.1, 'max_depth': 3, 'max_features': 0.5, 'n_estimators': 100};0.8890469444413015;0.8477116894003478
0.1;200;3;0.5;{'learning_rate': 0.1, 'max_depth': 3, 'max_features': 0.5, 'n_estimators': 200};0.9088240248409628;0.8478251787649627
0.1;500;3;0.5;{'learning_rate': 0.1, 'max_depth': 3, 'max_features': 0.5, 'n_estimators': 500};0.9429472126983415;0.8417910538417738
0.1;20;3;0.75;{'learning_rate': 0.1, 'max_depth': 3, 'max_features': 0.75, 'n_estimators': 20};0.8560052291086594;0.8328171190767041
0.1;50;3;0.75;{'learning_rate': 0.1, 'max_depth': 3, 'max_features': 0.75, 'n_estimators': 50};0.8746523620160719;0.8416785857508258
0.1;100;3;0.75;{'learning_rate': 0.1, 'max_depth': 3, 'max_features': 0.75, 'n_estimators': 100};0.890259307068473;0.8460467468333789
0.1;200;3;0.75;{'learning_rate': 0.1, 'max_depth': 3, 'max_features': 0.75, 'n_estimators': 200};0.9108244528840921;0.8471121971670436
0.1;500;3;0.75;{'learning_rate': 0.1, 'max_depth': 3, 'max_features': 0.75, 'n_estimators': 500};0.9458193975888776;0.8419782477057889
0.1;20;3;0.9;{'learning_rate': 0.1, 'max_depth': 3, 'max_features': 0.9, 'n_estimators': 20};0.8555422864347284;0.8337912239501579
0.1;50;3;0.9;{'learning_rate': 0.1, 'max_depth': 3, 'max_features': 0.9, 'n_estimators': 50};0.8744870456864567;0.84262097308195
0.1;100;3;0.9;{'learning_rate': 0.1, 'max_depth': 3, 'max_features': 0.9, 'n_estimators': 100};0.8908684739508936;0.8463976560350225
0.1;200;3;0.9;{'learning_rate': 0.1, 'max_depth': 3, 'max_features': 0.9, 'n_estimators': 200};0.9105664519484784;0.8485394348424461
0.1;500;3;0.9;{'learning_rate': 0.1, 'max_depth': 3, 'max_features': 0.9, 'n_estimators': 500};0.9458550547076623;0.8429732523166069
0.1;20;5;;{'learning_rate': 0.1, 'max_depth': 5, 'max_features': None, 'n_estimators': 20};0.8976390835017934;0.8412788872586319
0.1;50;5;;{'learning_rate': 0.1, 'max_depth': 5, 'max_features': None, 'n_estimators': 50};0.9201691258390069;0.846679378858809
0.1;100;5;;{'learning_rate': 0.1, 'max_depth': 5, 'max_features': None, 'n_estimators': 100};0.9453450664171799;0.8468449102541
0.1;200;5;;{'learning_rate': 0.1, 'max_depth': 5, 'max_features': None, 'n_estimators': 200};0.9741461019956694;0.8414380857653225
0.1;500;5;;{'learning_rate': 0.1, 'max_depth': 5, 'max_features': None, 'n_estimators': 500};0.9966136626826056;0.8278383746366624
0.1;20;5;0.5;{'learning_rate': 0.1, 'max_depth': 5, 'max_features': 0.5, 'n_estimators': 20};0.897040117245249;0.8414969463545204
0.1;50;5;0.5;{'learning_rate': 0.1, 'max_depth': 5, 'max_features': 0.5, 'n_estimators': 50};0.9217111425074369;0.8454273755216357
0.1;100;5;0.5;{'learning_rate': 0.1, 'max_depth': 5, 'max_features': 0.5, 'n_estimators': 100};0.9447547416067119;0.8448155172797515
0.1;200;5;0.5;{'learning_rate': 0.1, 'max_depth': 5, 'max_features': 0.5, 'n_estimators': 200};0.9725770179824287;0.8389156197230898
0.1;500;5;0.5;{'learning_rate': 0.1, 'max_depth': 5, 'max_features': 0.5, 'n_estimators': 500};0.9966224892557973;0.823515472302696
0.1;20;5;0.75;{'learning_rate': 0.1, 'max_depth': 5, 'max_features': 0.75, 'n_estimators': 20};0.8984920687945079;0.8409290753213613
0.1;50;5;0.75;{'learning_rate': 0.1, 'max_depth': 5, 'max_features': 0.75, 'n_estimators': 50};0.9239122509026922;0.8455829358599193
0.1;100;5;0.75;{'learning_rate': 0.1, 'max_depth': 5, 'max_features': 0.75, 'n_estimators': 100};0.9456559562970951;0.8449607033673454
0.1;200;5;0.75;{'learning_rate': 0.1, 'max_depth': 5, 'max_features': 0.75, 'n_estimators': 200};0.9740172705578098;0.8390893910801088
0.1;500;5;0.75;{'learning_rate': 0.1, 'max_depth': 5, 'max_features': 0.75, 'n_estimators': 500};0.9977132862233461;0.824998276480191
0.1;20;5;0.9;{'learning_rate': 0.1, 'max_depth': 5, 'max_features': 0.9, 'n_estimators': 20};0.8981700193749285;0.8417261793037911
0.1;50;5;0.9;{'learning_rate': 0.1, 'max_depth': 5, 'max_features': 0.9, 'n_estimators': 50};0.9210263502460473;0.8466623102048201
0.1;100;5;0.9;{'learning_rate': 0.1, 'max_depth': 5, 'max_features': 0.9, 'n_estimators': 100};0.9428003628102058;0.8447673913915015
0.1;200;5;0.9;{'learning_rate': 0.1, 'max_depth': 5, 'max_features': 0.9, 'n_estimators': 200};0.9728939819474186;0.8387898660159677
0.1;500;5;0.9;{'learning_rate': 0.1, 'max_depth': 5, 'max_features': 0.9, 'n_estimators': 500};0.9971053731286675;0.8241043277850422
0.1;20;7;;{'learning_rate': 0.1, 'max_depth': 7, 'max_features': None, 'n_estimators': 20};0.9526569233178831;0.8371103610991827
0.1;50;7;;{'learning_rate': 0.1, 'max_depth': 7, 'max_features': None, 'n_estimators': 50};0.9725220510120733;0.8409195215363114
0.1;100;7;;{'learning_rate': 0.1, 'max_depth': 7, 'max_features': None, 'n_estimators': 100};0.9881898023731465;0.8352848862310035
0.1;200;7;;{'learning_rate': 0.1, 'max_depth': 7, 'max_features': None, 'n_estimators': 200};0.9985900226991635;0.8281112679306719
0.1;500;7;;{'learning_rate': 0.1, 'max_depth': 7, 'max_features': None, 'n_estimators': 500};0.9999998155235478;0.8072529539797566
0.1;20;7;0.5;{'learning_rate': 0.1, 'max_depth': 7, 'max_features': 0.5, 'n_estimators': 20};0.9486539906111724;0.8367145801903698
0.1;50;7;0.5;{'learning_rate': 0.1, 'max_depth': 7, 'max_features': 0.5, 'n_estimators': 50};0.9705119338775702;0.8377856706989815
0.1;100;7;0.5;{'learning_rate': 0.1, 'max_depth': 7, 'max_features': 0.5, 'n_estimators': 100};0.9884025958075155;0.8333098767508283
0.1;200;7;0.5;{'learning_rate': 0.1, 'max_depth': 7, 'max_features': 0.5, 'n_estimators': 200};0.998576846603926;0.8228401998782127
0.1;500;7;0.5;{'learning_rate': 0.1, 'max_depth': 7, 'max_features': 0.5, 'n_estimators': 500};0.9996351246999102;0.8015000819423055
0.1;20;7;0.75;{'learning_rate': 0.1, 'max_depth': 7, 'max_features': 0.75, 'n_estimators': 20};0.9519663275871987;0.8391012149138966
0.1;50;7;0.75;{'learning_rate': 0.1, 'max_depth': 7, 'max_features': 0.75, 'n_estimators': 50};0.9724685585348295;0.841614876673609
0.1;100;7;0.75;{'learning_rate': 0.1, 'max_depth': 7, 'max_features': 0.75, 'n_estimators': 100};0.9879001886594996;0.8363957880314675
0.1;200;7;0.75;{'learning_rate': 0.1, 'max_depth': 7, 'max_features': 0.75, 'n_estimators': 200};0.9988295316229461;0.8274707430653433
0.1;500;7;0.75;{'learning_rate': 0.1, 'max_depth': 7, 'max_features': 0.75, 'n_estimators': 500};0.9999998444394381;0.8061353832979803
0.1;20;7;0.9;{'learning_rate': 0.1, 'max_depth': 7, 'max_features': 0.9, 'n_estimators': 20};0.9521919393411344;0.8382993675548027
0.1;50;7;0.9;{'learning_rate': 0.1, 'max_depth': 7, 'max_features': 0.9, 'n_estimators': 50};0.9731563360738718;0.840630402874398
0.1;100;7;0.9;{'learning_rate': 0.1, 'max_depth': 7, 'max_features': 0.9, 'n_estimators': 100};0.9892784604211318;0.8352667160729788
0.1;200;7;0.9;{'learning_rate': 0.1, 'max_depth': 7, 'max_features': 0.9, 'n_estimators': 200};0.998114211000547;0.8282635875030946
0.1;500;7;0.9;{'learning_rate': 0.1, 'max_depth': 7, 'max_features': 0.9, 'n_estimators': 500};0.9995013303021845;0.8044018849770844
