dataset;data_variant;param_learning_rate;param_n_estimators;param_max_depth;param_max_features;mean_train_score;mean_test_score
3;_pca;0.1;50;5;0.75;0.9224926518809208;0.8047888346057616
3;_pca;0.1;100;5;0.75;0.9486925022123669;0.8071944478773233
3;_pca;0.1;200;5;0.75;0.9794592556669405;0.8076413672230894
3;_pca;0.1;500;5;0.75;0.9994119151275586;0.8025755509017274
3;_pca;0.1;20;5;0.9;0.894555604625308;0.799704919825407
3;_pca;0.1;50;5;0.9;0.9274740598283415;0.8061908135026195
3;_pca;0.1;100;5;0.9;0.9511307834722529;0.8076932514391757
3;_pca;0.1;200;5;0.9;0.9796510476265217;0.8066012332601215
3;_pca;0.1;500;5;0.9;0.9994994809221994;0.8034942179015598
3;_pca;0.1;20;7;;0.9545407102783261;0.7997113815305076
3;_pca;0.1;50;7;;0.9777958542686995;0.8006057979903142
3;_pca;0.1;100;7;;0.9909337404776294;0.8021790659687131
3;_pca;0.1;200;7;;0.9990386786713055;0.8053724781550317
3;_pca;0.1;500;7;;0.999999992760856;0.8005024669263027
3;_pca;0.1;20;7;0.5;0.9558204293490951;0.8006628073915156
3;_pca;0.1;50;7;0.5;0.9825794761349369;0.8027101433348806
3;_pca;0.1;100;7;0.5;0.9934170937347906;0.803700129958856
3;_pca;0.1;200;7;0.5;0.9998870681861085;0.8056976521188663
3;_pca;0.1;500;7;0.5;0.999999992760856;0.7917763124496819
3;_pca;0.1;20;7;0.75;0.9566436434793276;0.799657468365536
3;_pca;0.1;50;7;0.75;0.9772392053668376;0.803839860677338
3;_pca;0.1;100;7;0.75;0.9905785011958741;0.805760201890535
3;_pca;0.1;200;7;0.75;0.9995721693509416;0.8075816857487638
3;_pca;0.1;500;7;0.75;0.999999992760856;0.7943437018728835
3;_pca;0.1;20;7;0.9;0.9519351632248041;0.803005668996486
3;_pca;0.1;50;7;0.9;0.9772041818895674;0.8037548446320868
3;_pca;0.1;100;7;0.9;0.9929864426297408;0.8039842681673016
3;_pca;0.1;200;7;0.9;0.9997070303317495;0.8058750235947736
3;_pca;0.1;500;7;0.9;0.999999992760856;0.7959251511579779
2;_woe_scaled;0.01;20;3;;0.8240582283595772;0.8125938681494008
2;_woe_scaled;0.01;50;3;;0.8365881731030623;0.8227934592145474
2;_woe_scaled;0.01;100;3;;0.8459255967814419;0.8292277286918088
2;_woe_scaled;0.01;200;3;;0.854935728712281;0.8330466983938262
2;_woe_scaled;0.01;500;3;;0.8735112108937063;0.8425492119590848
2;_woe_scaled;0.01;20;3;0.5;0.8365695412376658;0.8244821902039617
2;_woe_scaled;0.01;50;3;0.5;0.8412925031995738;0.8268520002855623
2;_woe_scaled;0.01;100;3;0.5;0.8470057012566812;0.8289126132467783
2;_woe_scaled;0.01;200;3;0.5;0.856016809369793;0.8337974774120591
2;_woe_scaled;0.01;500;3;0.5;0.8749965355550284;0.8435856788813199
2;_woe_scaled;0.01;20;3;0.75;0.8337827900512232;0.8211730711606621
